PLAYER,TEAM_pie,AGE_pie,GP_pie,W_pie,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE_pie,PIE_pie,Unnamed: 0,Rk,POSITION,AGE_sal,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM_sal,GP_sal,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE_sal,PACE_sal,W_sal,SALARY_MILLIONS,PAGEVIEWS,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
Jimmy Butler,CHI,27,76,40,36,37.0,106.4,103.4,3.0,24.3,2.62,19.6,5.0,13.1,9.0,7.5,49.2,58.6,26.5,97.78,16.4,11,14,SF,27,37.0,7.5,16.5,0.455,1.2,3.3,0.367,6.3,13.2,0.477,0.492,7.7,8.9,0.865,1.7,4.5,6.2,5.5,1.9,0.4,2.1,1.5,23.9,CHI,76,37.0,4.82,1.8,6.62,17.35,16.4,97.78,40,17.55,41.0,89.5,30.0
Rudy Gobert,UTA,25,81,51,30,33.9,108.7,100.6,8.1,5.7,0.66,9.0,13.8,28.8,21.7,13.6,66.1,68.1,16.7,93.11,16.1,59,77,C,24,33.9,5.1,7.7,0.6609999999999999,0.0,0.0,0.0,5.1,7.7,0.662,0.6609999999999999,3.8,5.9,0.653,3.9,8.9,12.8,1.2,0.6,2.6,1.8,3.0,14.0,UTAH,81,33.9,0.35,6.02,6.37,15.55,16.1,93.11,51,2.12,368.5,731.0,225.5
Mike Conley,MEM,29,69,35,34,33.2,108.6,105.5,3.1,32.9,2.78,24.6,1.5,10.8,6.1,8.9,54.5,60.4,26.3,94.64,16.0,23,29,PG,29,33.2,6.7,14.6,0.46,2.5,6.1,0.408,4.2,8.6,0.497,0.545,4.6,5.3,0.8590000000000001,0.4,3.0,3.5,6.3,1.3,0.3,2.3,1.8,20.5,MEM,69,33.2,4.67,-0.2,4.47,10.5,16.0,94.64,35,26.54,11.0,257.5,90.0
Damian Lillard,POR,26,75,38,37,35.9,110.1,108.9,1.2,27.7,2.23,18.6,1.8,13.4,7.5,8.3,51.6,58.6,30.9,99.68,15.9,4,7,PG,26,35.9,8.8,19.8,0.444,2.9,7.7,0.37,6.0,12.1,0.492,0.516,6.5,7.3,0.895,0.6,4.3,4.9,5.9,0.9,0.3,2.6,2.0,27.0,POR,75,35.9,4.63,-1.49,3.14,10.72,15.9,99.68,38,24.33,1830.5,186.5,43.0
Gordon Hayward,UTA,27,73,46,27,34.5,109.5,102.4,7.1,17.9,1.8,14.5,2.3,15.2,9.0,8.1,53.6,59.5,27.6,93.44,15.8,20,26,SF,26,34.5,7.5,15.8,0.471,2.0,5.1,0.3979999999999999,5.4,10.7,0.506,0.536,5.0,5.9,0.8440000000000001,0.7,4.7,5.4,3.5,1.0,0.3,1.9,1.6,21.9,UTAH,73,34.5,3.14,-0.08,3.06,9.45,15.8,93.44,46,16.07,689.0,319.0,50.5
Enes Kanter,OKC,25,72,43,29,21.3,107.8,107.9,-0.1,7.8,0.54,6.4,14.7,21.0,17.9,11.7,54.9,59.9,27.5,99.17,15.4,56,73,C,24,21.3,5.6,10.2,0.545,0.1,0.5,0.132,5.5,9.7,0.568,0.5489999999999999,3.1,4.0,0.7859999999999999,2.7,4.0,6.7,0.9,0.4,0.5,1.7,2.1,14.3,OKC,72,21.3,0.56,-1.24,-0.68,2.4,15.4,99.17,43,17.15,713.0,147.0,195.0
John Wall,WAS,26,78,48,30,36.4,111.2,107.3,3.9,45.0,2.58,29.5,2.3,10.5,6.4,11.4,48.2,54.1,30.2,101.07,15.3,16,19,PG,26,36.4,8.3,18.4,0.451,1.1,3.5,0.327,7.2,14.9,0.48,0.482,5.4,6.8,0.8009999999999999,0.8,3.4,4.2,10.7,2.0,0.6,4.1,1.9,23.1,WSH,78,36.4,3.52,-1.26,2.26,9.9,15.3,101.07,48,16.96,57.0,0.0,77.0
Blake Griffin,LAC,28,61,40,21,34.0,115.2,104.6,10.6,23.5,2.11,18.8,6.4,20.4,13.7,8.9,51.3,56.9,27.8,98.71,15.2,21,27,PF,27,34.0,7.9,15.9,0.493,0.6,1.9,0.336,7.2,14.1,0.514,0.513,5.2,6.9,0.76,1.8,6.3,8.1,4.9,0.9,0.4,2.3,2.6,21.6,LAC,61,34.0,3.02,0.76,3.78,9.2,15.2,98.71,40,20.14,2257.0,269.0,98.5
Zach Randolph,MEM,35,73,38,35,24.5,104.1,105.2,-1.1,13.1,1.23,9.6,11.3,28.0,19.3,7.8,46.0,49.0,28.5,94.36,15.2,58,76,PF,35,24.5,5.9,13.2,0.449,0.3,1.3,0.223,5.6,11.9,0.474,0.46,1.9,2.6,0.731,2.5,5.7,8.2,1.7,0.5,0.1,1.4,1.9,14.1,MEM,73,24.5,-0.37,-1.05,-1.42,1.83,15.2,94.36,38,10.36,528.5,47.0,18.5
Dwight Howard,ATL,31,74,37,37,29.7,101.1,103.1,-2.0,7.6,0.61,9.7,15.3,31.0,23.4,15.8,63.3,62.7,19.1,99.8,15.1,67,88,C,31,29.7,5.2,8.3,0.633,0.0,0.0,0.0,5.2,8.3,0.635,0.633,3.1,5.7,0.5329999999999999,4.0,8.7,12.7,1.4,0.9,1.2,2.3,2.7,13.5,ATL,74,29.7,-1.7,2.6,0.9,5.65,15.1,99.8,37,23.18,2558.5,7.0,1.0
